Month,State,Deaths
2011-02-01,Vermont,12.538461538461538
2011-02-01,Virginia,58.0
2011-02-01,Washington,103.0
2011-02-01,West Virginia,45.0
2011-02-01,Wisconsin,67.0
2011-02-01,Wyoming,10.833333333333334
2011-03-01,Alabama,58.0
2011-03-01,Alaska,12.0
2011-03-01,Arizona,118.0
2011-03-01,Arkansas,29.0
2011-03-01,California,394.0
2011-03-01,Colorado,76.0
2011-03-01,Connecticut,37.0
2011-03-01,Delaware,18.0
2011-03-01,District of Columbia,11.0
2011-03-01,Florida,286.0
2011-03-01,Georgia,107.0
2011-03-01,Hawaii,14.0
2011-03-01,Idaho,16.0
2011-03-01,Illinois,110.0
2011-03-01,Indiana,100.0
2011-03-01,Iowa,23.0
2011-03-01,Kansas,28.0
2011-03-01,Kentucky,84.0
2011-03-01,Louisiana,37.0
2011-03-01,Maine,10.0
2011-03-01,Maryland,73.0
2011-03-01,Massachusetts,68.0
2011-03-01,Michigan,130.0
2011-03-01,Minnesota,46.0
2011-03-01,Mississippi,35.0
2011-03-01,Missouri,88.0
2011-03-01,Montana,18.0
2011-03-01,Nebraska,13.0
2011-03-01,Nevada,53.0
2011-03-01,New Hampshire,22.0
2011-03-01,New Jersey,84.0
2011-03-01,New Mexico,65.0
2011-03-01,New York,193.0
2011-03-01,North Carolina,119.0
2011-03-01,North Dakota,0.0
2011-03-01,Ohio,168.0
2011-03-01,Oklahoma,64.0
2011-03-01,Oregon,54.0
2011-03-01,Pennsylvania,198.0
2011-03-01,Rhode Island,21.0
2011-03-01,South Carolina,51.0
2011-03-01,South Dakota,1.746031746031746
2011-03-01,Tennessee,98.0
2011-03-01,Texas,233.0
2011-03-01,Utah,52.0
2011-03-01,Vermont,12.615384615384615
2011-03-01,Virginia,70.0
2011-03-01,Washington,100.0
2011-03-01,West Virginia,53.0
2011-03-01,Wisconsin,63.0
2011-03-01,Wyoming,10.666666666666666
2011-04-01,Alabama,67.0
2011-04-01,Alaska,13.0
2011-04-01,Arizona,89.0
2011-04-01,Arkansas,26.0
2011-04-01,California,403.0
2011-04-01,Colorado,64.0
2011-04-01,Connecticut,46.0
2011-04-01,Delaware,10.0
2011-04-01,District of Columbia,10.0
2011-04-01,Florida,251.0
2011-04-01,Georgia,80.0
2011-04-01,Hawaii,21.0
2011-04-01,Idaho,14.5
2011-04-01,Illinois,121.0
2011-04-01,Indiana,75.0
2011-04-01,Iowa,25.0
2011-04-01,Kansas,28.0
2011-04-01,Kentucky,98.0
2011-04-01,Louisiana,48.0
2011-04-01,Maine,20.0
2011-04-01,Maryland,54.0
2011-04-01,Massachusetts,91.0
2011-04-01,Michigan,125.0
2011-04-01,Minnesota,51.0
2011-04-01,Mississippi,24.0
2011-04-01,Missouri,86.0
2011-04-01,Montana,12.0
2011-04-01,Nebraska,10.0
2011-04-01,Nevada,53.0
2011-04-01,New Hampshire,14.0
2011-04-01,New Jersey,79.0
2011-04-01,New Mexico,53.0
2011-04-01,New York,175.0
2011-04-01,North Carolina,112.0
2011-04-01,North Dakota,0.0
2011-04-01,Ohio,176.0
2011-04-01,Oklahoma,60.0
2011-04-01,Oregon,52.0
2011-04-01,Pennsylvania,192.0
2011-04-01,Rhode Island,21.0
2011-04-01,South Carolina,47.0
2011-04-01,South Dakota,1.9047619047619047
2011-04-01,Tennessee,92.0
2011-04-01,Texas,214.0
2011-04-01,Utah,31.0
2011-04-01,Vermont,12.692307692307692
2011-04-01,Virginia,74.0
2011-04-01,Washington,100.0
2011-04-01,West Virginia,58.0
2011-04-01,Wisconsin,88.0
2011-04-01,Wyoming,10.5
2011-05-01,Alabama,50.0
2011-05-01,Alaska,13.0
2011-05-01,Arizona,102.0
2011-05-01,Arkansas,41.0
2011-05-01,California,397.0
2011-05-01,Colorado,76.0
2011-05-01,Connecticut,20.0
2011-05-01,Delaware,13.0
2011-05-01,District of Columbia,10.0
2011-05-01,Florida,248.0
2011-05-01,Georgia,91.0
2011-05-01,Hawaii,16.0
2011-05-01,Idaho,13.0
2011-05-01,Illinois,108.0
2011-05-01,Indiana,85.0
2011-05-01,Iowa,21.0
2011-05-01,Kansas,25.0
2011-05-01,Kentucky,101.0
2011-05-01,Louisiana,50.0
2011-05-01,Maine,16.0
2011-05-01,Maryland,61.0
2011-05-01,Massachusetts,64.0
2011-05-01,Michigan,137.0
2011-05-01,Minnesota,58.0
2011-05-01,Mississippi,22.0
